feature,split,dtype,n_missing,missing_pct,missing_status,n_infinite,n_unique,is_constant,is_near_zero_variance,mean,std,min,max,distribution_shift_z,distribution_shift_flag
demand_rolling_mean_7_Rajshahi,validation,float32,0,0.0,ok,0,260,False,False,0.345698,1.194553,-1.375862,2.680102,0.3456,False
demand_rolling_mean_7_Rajshahi,test,float32,0,0.0,ok,0,261,False,False,1.188986,1.264339,-1.153376,3.664084,1.1885,False
demand_rolling_mean_7_Mymensingh,train,float32,7,0.5405,expected_warmup,0,1051,False,False,0.0,1.000389,-1.977666,2.538464,,
demand_rolling_mean_7_Mymensingh,validation,float32,0,0.0,ok,0,267,False,False,0.667685,1.113157,-1.170667,2.52927,0.6674,False
demand_rolling_mean_7_Mymensingh,test,float32,0,0.0,ok,0,265,False,False,1.494223,1.028807,-0.547541,3.734661,1.4936,False
demand_rolling_mean_7_Sylhet,train,float32,7,0.5405,expected_warmup,0,892,False,False,0.0,1.000389,-1.464668,2.198664,,
demand_rolling_mean_7_Sylhet,validation,float32,0,0.0,ok,0,247,False,False,0.447914,1.129438,-0.968204,2.332523,0.4477,False
demand_rolling_mean_7_Sylhet,test,float32,0,0.0,ok,0,255,False,False,1.163649,1.020993,-0.856372,3.135678,1.1632,False
demand_rolling_mean_7_Barishal,train,float32,7,0.5405,expected_warmup,0,830,False,False,0.0,1.000389,-1.645328,2.937512,,
demand_rolling_mean_7_Barishal,validation,float32,0,0.0,ok,0,239,False,False,0.73613,1.136649,-0.647042,2.539964,0.7358,False
demand_rolling_mean_7_Barishal,test,float32,0,0.0,ok,0,250,False,False,1.545777,1.048429,-1.444345,3.306347,1.5452,False
demand_rolling_mean_7_Rangpur,train,float32,7,0.5405,expected_warmup,0,1003,False,False,-0.0,1.000388,-2.814875,1.909804,,
demand_rolling_mean_7_Rangpur,validation,float32,0,0.0,ok,0,258,False,False,0.740008,0.718168,-0.290601,2.156603,0.7397,False
demand_rolling_mean_7_Rangpur,test,float32,0,0.0,ok,0,270,False,False,1.152058,0.754132,-0.459463,2.39734,1.1516,False
demand_rolling_mean_7_Cumilla,train,float32,7,0.5405,expected_warmup,0,1100,False,False,0.0,1.000388,-1.611917,2.504338,,
demand_rolling_mean_7_Cumilla,validation,float32,0,0.0,ok,0,263,False,False,0.391785,1.053403,-1.049022,1.88666,0.3916,False
demand_rolling_mean_7_Cumilla,test,float32,0,0.0,ok,0,266,False,False,1.140292,0.874611,-0.842901,2.613219,1.1398,False
demand_rolling_mean_7_Khulna,train,float32,7,0.5405,expected_warmup,0,1098,False,False,0.0,1.000388,-1.638794,2.482767,,
demand_rolling_mean_7_Khulna,validation,float32,0,0.0,ok,0,268,False,False,0.417934,1.109883,-1.01825,2.133165,0.4178,False
demand_rolling_mean_7_Khulna,test,float32,0,0.0,ok,0,268,False,False,1.223482,1.063615,-0.894641,2.946614,1.223,False
regional_demand_share_Dhaka,train,float32,0,0.0,ok,0,1284,False,False,-0.0,1.000387,-4.258921,2.071113,,
regional_demand_share_Dhaka,validation,float32,0,0.0,ok,0,272,False,False,0.460435,0.98897,-4.055107,3.086622,0.4603,False
regional_demand_share_Dhaka,test,float32,0,0.0,ok,0,276,False,False,0.290634,1.070518,-3.690768,2.150931,0.2905,False
regional_demand_share_Chattogram,train,float32,0,0.0,ok,0,1282,False,False,-0.0,1.000386,-4.308935,4.500069,,
regional_demand_share_Chattogram,validation,float32,0,0.0,ok,0,272,False,False,-0.607286,0.787852,-3.165237,1.869678,0.6071,False
regional_demand_share_Chattogram,test,float32,0,0.0,ok,0,276,False,False,-0.958441,0.871417,-3.766332,1.897624,0.9581,False
regional_demand_share_Rajshahi,train,float32,0,0.0,ok,0,1283,False,False,0.0,1.000386,-2.508068,3.345621,,
regional_demand_share_Rajshahi,validation,float32,0,0.0,ok,0,272,False,False,-0.583677,0.73145,-2.97818,1.396473,0.5835,False
regional_demand_share_Rajshahi,test,float32,0,0.0,ok,0,276,False,False,-0.416143,1.061391,-2.76967,3.094937,0.416,False
regional_demand_share_Mymensingh,train,float32,0,0.0,ok,0,1281,False,False,0.0,1.000386,-4.693036,2.972968,,
