,Year,Month,Max. Demand at eve. peak (Generation end),Max. Demand at eve. peak (Sub-station end),Highest Generation (Generation end),Minimum Generation (Generation end),Day-peak Generation (Generation end),Evening-peak Generation (Generation end),Minimum Generation Forecast up to 8:00 hrs.,Maximum Temperature in Dhaka was,Gas/LF limitation,Coal supply Limitation,Low water level in Kaptai lake,Plants under shut down/ maintenance,Dhaka_demand,Dhaka_supply,Dhaka_load,Chattogram_demand,Chattogram_supply,Chattogram_load,Rajshahi_demand,Rajshahi_supply,Rajshahi_load,Mymensingh_demand,Mymensingh_supply,Mymensingh_load,Sylhet_demand,Sylhet_supply,Sylhet_load,Barishal_demand,Barishal_supply,Barishal_load,Rangpur_demand,Rangpur_supply,Rangpur_load,Cumilla_demand,Cumilla_supply,Cumilla_load,Khulna_demand,Khulna_supply,Khulna_load,Holiday_cat
Gas/LF limitation,0.5304918026616466,-0.036379930717588854,-0.0091212156236283,0.020159927598504518,-0.037367912739263875,-0.01905493906627246,0.09341444294969369,-0.03380091740552702,-0.02309470209635069,-0.3272488969358589,1.0,-0.13040544979631535,-0.2575475489097253,0.406825324620487,0.15867534068995762,0.1429744085452078,0.153129456679638,0.005588781385293155,-0.0005893586932071489,0.01928329540480146,-0.16158981447106635,-0.19521604630805472,0.1486939577967374,0.04416594569938046,-0.04414538720547182,0.18063525634380367,-0.05154548818866014,-0.08721219590973932,0.10394818700397601,-0.05192387150893742,-0.05483044276840311,0.04946385895339437,0.11460752847840006,0.09964715641438282,0.1085556170753543,-0.13936783141522124,-0.17342401681352654,0.10388857814206011,-0.11505650802957255,-0.13905950638221773,0.12239282959174572,-0.11206573454707623
Coal supply Limitation,-0.12976371122363642,-0.18323407109133552,-0.08096923463012534,-0.07922112279027504,-0.04716469551446057,-0.0720973864408258,-0.05628822264086643,-0.05031199027491945,-0.0644927383639732,0.019455400071224958,-0.13040544979631535,1.0,0.21275379648954668,-0.18789332588400565,-0.1448175376356042,-0.12780907382211162,-0.1880829411242754,-0.09257816316176473,-0.07273004289383188,-0.12771378266462485,-0.07430205256093197,-0.047863316734489576,-0.16330489359459832,-0.0528204330648264,0.07254746293169136,-0.26147158075465077,-0.07104919222931178,-0.03114434749960824,-0.15749486053418393,-0.04664487036287983,-0.04039815244318972,-0.09812059726780624,0.1332341558508484,0.18107296619079985,-0.16619534521269858,-0.05190395579624086,-0.005418431818174552,-0.21455381719496947,-0.012922714759587181,0.014259290933973814,-0.1577095909339555,0.07429506395753169
Low water level in Kaptai lake,-0.1667967794539909,-0.5136225246606356,-0.21260771803792336,-0.219737462869826,-0.19346240498685988,-0.24755352424115798,-0.20998683105140026,-0.19730477366133373,-0.24668677985230203,-0.017992254325718306,-0.2575475489097253,0.21275379648954668,1.0,-0.13542288896470178,-0.2906596839997373,-0.2793214307297207,-0.18833574244021356,-0.19799745887369166,-0.19915381148625966,-0.044679923895309066,-0.06531550543063105,-0.0451220723886695,-0.12495814685814594,-0.16293242183923712,-0.08879337653624582,-0.21837495611505456,-0.32482305329837813,-0.2897801517085157,-0.23715387534710652,-0.15024994501000716,-0.154988645208065,0.029350678988637687,-0.14503369547303116,-0.12208677685819531,-0.15344910324170463,-0.15933399421444272,-0.13368411099548771,-0.17515682747991296,-0.11671168761146258,-0.10410432387289936,-0.10605051899186994,0.22712677382772656
Plants under shut down/ maintenance,0.46608437531962316,0.27766443003241625,0.02005681620736411,0.052051501044368786,0.01224573112306865,0.024390364375211884,0.11006481158530602,0.014019511845677733,0.023787377026125815,-0.11136354308648067,0.406825324620487,-0.18789332588400565,-0.13542288896470178,1.0,0.14146006511276535,0.13874095316755863,0.05648264751720564,0.04410030539958624,0.043450879124359715,0.008898206597379487,-0.13864990921202244,-0.15447501152873777,0.05667828527505975,0.04564258118132894,0.007851175539304997,0.08656773806843772,0.009108139199739447,-0.0072647782309473415,0.055892000993426616,0.008512807530160788,0.008503089597127608,0.006726087262174915,0.24828935183123035,0.2542939923431193,0.06130944170425141,-0.03738669323588292,-0.050964904887064094,0.04837610877079525,-0.07378694736295387,-0.07925293616587527,0.022203303589265328,-0.10525371336395846
Dhaka_demand,0.5682191419937547,0.1611289046368107,0.9168352228490756,0.92428380923824,0.8987490529890904,0.8742260306120507,0.9190374809180472,0.9075180390954471,0.8548049936042608,0.5408500847391464,0.15867534068995762,-0.1448175376356042,-0.2906596839997373,0.14146006511276535,1.0,0.9948113725670292,0.35010330929860944,0.8419883175671532,0.8221924166391907,0.2430640895429025,0.7439013865580635,0.7151876982403254,0.3265375046812024,0.7762883736953808,0.6839645869526657,0.5498693864209035,0.75274502984178,0.718974466618548,0.33890904275012607,0.7543234995745877,0.7501865142465359,0.1832254749042599,0.6905087235397357,0.6427931291113509,0.4523181589879208,0.7697428577999246,0.7263789090634495,0.4474410310072918,0.7830542445309816,0.7604638259583122,0.2944591928082483,0.007392274850865152
Dhaka_supply,0.5643392805496147,0.159733741949205,0.9084760885064355,0.9170088982304972,0.9018522850687885,0.8663277230602475,0.9213356361973917,0.9108042512873313,0.8471357258689832,0.5393145727738675,0.1429744085452078,-0.12780907382211162,-0.2793214307297207,0.13874095316755863,0.9948113725670292,1.0,0.26774099892130115,0.8408077716065367,0.829233813549881,0.1983099520068815,0.735279169481731,0.7173200566572976,0.26601086436901494,0.7651689109119987,0.6933989190633733,0.5022180391895196,0.7401053879563116,0.7204805636688152,0.2828813785358864,0.7469295034923108,0.7442176301911342,0.1650591244391329,0.6842962336353171,0.6484349503742616,0.39742640689440195,0.7611239297345439,0.7308433106516518,0.3856768019724903,0.7759707566139867,0.761041305017758,0.24836274392375635,0.012810803598508096
Dhaka_load,0.19920030752789816,0.06501162858328319,0.3590075734469754,0.3514596964615498,0.24542029626687967,0.3351590841057702,0.26327555212768444,0.25540886582045,0.3271835835892395,0.1757929720707026,0.153129456679638,-0.1880829411242754,-0.18833574244021356,0.05648264751720564,0.35010330929860944,0.26774099892130115,1.0,0.2751280082779271,0.19747760451463214,0.6059144606526053,0.30518068209599514,0.20029050160021022,0.6406037522020934,0.3438716663269993,0.1322484006517581,0.6527224320155403,0.3452338802088495,0.20863300505589555,0.7052796011603714,0.28730180787539783,0.27431110210862586,0.20493823749930506,0.27100384428566343,0.1455644211617148,0.6512608774760261,0.3087650826333141,0.1832586948253652,0.7309421201043438,0.30438121962975223,0.23456088565875607,0.4699753362935519,-0.01974701742807964
Chattogram_demand,0.41831158754182857,0.1221335681848565,0.8700854654680847,0.878347222502181,0.8683759912048302,0.8339236912813971,0.8397820367141536,0.8706997061973445,0.8335291891183648,0.6443460576831896,0.005588781385293155,-0.09257816316176473,-0.19799745887369166,0.04410030539958624,0.8419883175671532,0.8408077716065367,0.2751280082779271,1.0,0.9866310958202524,0.2419317751673353,0.7249350346854236,0.7065036126119948,0.2660815118123432,0.7351811295187914,0.6939360203348219,0.43061014434271655,0.7546462980313764,0.7384731336258107,0.28157417969277776,0.7603255791476855,0.7588583462879016,0.14245025204603542,0.6687152751759037,0.6375339685259698,0.3671336566582088,0.8035615616557356,0.7792836721686547,0.38007820875213416,0.7842042871258678,0.767484579308602,0.2589534706139239,0.0689272765370005
Chattogram_supply,0.4067347718316339,0.1264738041239536,0.8492518761623852,0.8592755959121264,0.8625479629242413,0.8176093688283163,0.8302831851742136,0.8649529975801342,0.8178049212371998,0.632282314456189,-0.0005893586932071489,-0.07273004289383188,-0.19915381148625966,0.043450879124359715,0.8221924166391907,0.829233813549881,0.19747760451463214,0.9866310958202524,1.0,0.09568696155594536,0.7056820795517363,0.7020651190468914,0.17690441266584384,0.7150531580698696,0.6947294878140321,0.3791059380650959,0.7422051437120574,0.7409923657892303,0.22384563207465305,0.741530563470481,0.7449143098577277,0.07214696410703927,0.6570061561363822,0.641428602701479,0.29472440376453657,0.786005165853156,0.7797933822638393,0.2948709532290229,0.7685077739999016,0.7652811421973861,0.17370504711572068,0.07216430870228016
Chattogram_load,0.129331366738993,0.004404586556636813,0.2555211768412656,0.2470456352818904,0.16687447317354087,0.22525881253073188,0.1872344111139101,0.1722986997889985,0.22273863435407637,0.16118719286782876,0.01928329540480146,-0.12771378266462485,-0.044679923895309066,0.008898206597379487,0.2430640895429025,0.1983099520068815,0.6059144606526053,0.2419317751673353,0.09568696155594536,1.0,0.2196939374166166,0.1365533844093809,0.5265859335725125,0.23548000153972648,0.1071556336381941,0.412876568392499,0.192295853976534,0.0989286666678425,0.48504249309585085,0.21856520379184152,0.19570678831723806,0.3628800402228892,0.16931091664220696,0.07389646923892378,0.47643975345216133,0.22500372167288968,0.12280097298933193,0.5746215729146259,0.20847182845403503,0.13532600685960974,0.4890220653913994,0.011237126680529041
Rajshahi_demand,0.36979987226182526,-0.10728925801217823,0.9091807569126152,0.8982129651334788,0.9041761696845122,0.8889350847863436,0.8358601958849555,0.9008628689229035,0.8840847543889215,0.682602826219644,-0.16158981447106635,-0.07430205256093197,-0.06531550543063105,-0.13864990921202244,0.7439013865580635,0.735279169481731,0.30518068209599514,0.7249350346854236,0.7056820795517363,0.2196939374166166,1.0,0.9844770052399152,0.3051018424050598,0.8806407589585028,0.8261765368041994,0.5350898318745442,0.7977512171869977,0.777426926025198,0.30347785801703653,0.8545334845607243,0.8540595441353912,0.1290253421887645,0.7221500323658921,0.6694667178269432,0.4837838698896247,0.8737290905968155,0.8475385161681578,0.4073943361404357,0.9239549892957886,0.9118805432210357,0.2533218879234663,0.16343599518985624
Rajshahi_supply,0.35325969357413367,-0.11260426208247121,0.8841515526799255,0.8742354271080219,0.8996320035792668,0.8666722088867559,0.825339432525106,0.8961617869265474,0.8637189185486488,0.6774387819246643,-0.19521604630805472,-0.047863316734489576,-0.0451220723886695,-0.15447501152873777,0.7151876982403254,0.7173200566572976,0.20029050160021022,0.7065036126119948,0.7020651190468914,0.1365533844093809,0.9844770052399152,1.0,0.13580625655888476,0.858252906679449,0.8366483237796958,0.4576387719371015,0.7748131470902626,0.7766377751822969,0.21723370177036383,0.8365363101660567,0.8402190710916682,0.07433361555273071,0.703429873579673,0.6752137863921477,0.36875902167279245,0.8564781850237335,0.8534769190647112,0.2932513393826623,0.9066826955104245,0.9170478706340024,0.12181914313233112,0.16651887934578224
Rajshahi_load,0.17576914382038308,0.007233990950224235,0.34396636360194177,0.3355819767400363,0.2296116248080405,0.31989295620437264,0.24819673537057543,0.2300084990855782,0.3120812149317046,0.18386246792231864,0.1486939577967374,-0.16330489359459832,-0.12495814685814594,0.05667828527505975,0.3265375046812024,0.26601086436901494,0.6406037522020934,0.2660815118123432,0.17690441266584384,0.5265859335725125,0.3051018424050598,0.13580625655888476,1.0,0.32213193303339765,0.13105302494840612,0.5458355201534515,0.30215073482276933,0.17880842808486205,0.5455474544431388,0.28872074773865014,0.2677527594884951,0.3585460597443807,0.26591744237669745,0.1194895576212635,0.7415382841062895,0.29290798047165056,0.15944186285670672,0.7194789299863871,0.29933716200147564,0.1758897709212041,0.7851353502377588,0.019359577488088756
Mymensingh_demand,0.5521351640792292,-0.08806515847111149,0.9102692317969332,0.9108444641593821,0.8982154324143959,0.883823267871369,0.8617547601416434,0.8961868945676624,0.8898958863657305,0.6268912380464157,0.04416594569938046,-0.0528204330648264,-0.16293242183923712,0.04564258118132894,0.7762883736953808,0.7651689109119987,0.3438716663269993,0.7351811295187914,0.7150531580698696,0.23548000153972648,0.8806407589585028,0.858252906679449,0.32213193303339765,1.0,0.9220413401986332,0.627318705711768,0.841048072063354,0.8117944704131125,0.3588710310062262,0.8410557942125285,0.8403835481851599,0.14336230732361901,0.8157194922389935,0.7691592605582858,0.49088959350459865,0.8612144624950977,0.8300224057724412,0.42786767625356803,0.8697846556229599,0.8543224402390102,0.2692880558778521,0.13391959164811545
Mymensingh_supply,0.48206263105036873,-0.11880539920143254,0.8355252190509092,0.838940932712862,0.8649698952841135,0.8144422090086963,0.8076058458486228,0.860760928209654,0.8241058775824921,0.6271310726288989,-0.04414538720547182,0.07254746293169136,-0.08879337653624582,0.007851175539304997,0.6839645869526657,0.6933989190633733,0.1322484006517581,0.6939360203348219,0.6947294878140321,0.1071556336381941,0.8261765368041994,0.8366483237796958,0.13105302494840612,0.9220413401986332,1.0,0.298145174439048,0.7755968722930309,0.7950097389846221,0.16444181992459303,0.7901630655691412,0.7924257104349444,0.08951119698719177,0.7684966170770223,0.7675385035058019,0.27189995764414276,0.8146778695705754,0.831757506183649,0.20100067336076916,0.824429708263988,0.8339912044210696,0.11303499527844282,0.1749764494422229
Mymensingh_load,0.39380449824789604,0.013681691810486145,0.5869800541616149,0.580360448668903,0.4947476011791557,0.5580636667640874,0.5168628247941506,0.500178521007714,0.5584197719867059,0.30079894984353994,0.18063525634380367,-0.26147158075465077,-0.21837495611505456,0.08656773806843772,0.5498693864209035,0.5022180391895196,0.6527224320155403,0.43061014434271655,0.3791059380650959,0.412876568392499,0.5350898318745442,0.4576387719371015,0.5458355201534515,0.627318705711768,0.298145174439048,1.0,0.5351812962430662,0.4210291686383928,0.6245104694128236,0.4952303164039109,0.48918636765073753,0.17373641405454363,0.4892073116302335,0.3709432282491816,0.6953521452354436,0.5015262171358148,0.39138351986322617,0.6730876520698105,0.5096987237044456,0.4538198809087045,0.43285689938443345,-0.009353898367654335
Sylhet_demand,0.358322962996226,0.18889474569990117,0.8798334646242169,0.8783396777490512,0.8721202322691113,0.8701453742573279,0.7987435674406133,0.8687845268632222,0.8750418004011834,0.6591731620064278,-0.05154548818866014,-0.07104919222931178,-0.32482305329837813,0.009108139199739447,0.75274502984178,0.7401053879563116,0.3452338802088495,0.7546462980313764,0.7422051437120574,0.192295853976534,0.7977512171869977,0.7748131470902626,0.30215073482276933,0.841048072063354,0.7755968722930309,0.5351812962430662,1.0,0.9723352433985278,0.3906196416024849,0.839432920483192,0.8390804460877788,0.13304649626516615,0.7281622982997377,0.6833308936192272,0.45406291645556696,0.883639781177061,0.8555127952720735,0.4279458673744531,0.8386634089576505,0.8220915838882645,0.26171459212876425,0.08942537560021432
Sylhet_supply,0.3385287415474856,0.1792566699764957,0.8508607671087676,0.8516995754692531,0.8680909212768757,0.8460283610315786,0.7848499406144928,0.8638417935685818,0.8535526526606777,0.6567683490426793,-0.08721219590973932,-0.03114434749960824,-0.2897801517085157,-0.0072647782309473415,0.718974466618548,0.7204805636688152,0.20863300505589555,0.7384731336258107,0.7409923657892303,0.0989286666678425,0.777426926025198,0.7766377751822969,0.17880842808486205,0.8117944704131125,0.7950097389846221,0.4210291686383928,0.9723352433985278,1.0,0.19368137316353262,0.82236962368435,0.8256893845576702,0.0839975878530725,0.7101236550534242,0.6896524260650363,0.33929768978004615,0.868097753396414,0.8700397509380045,0.28809631571522787,0.8217551183252787,0.8228466286485981,0.157286915655231,0.10190285438949451
Sylhet_load,0.1781877993548117,0.10209054458829808,0.3635705749410804,0.35462503857748234,0.2626201901667166,0.3386359129441893,0.2794559667048106,0.26917668718225907,0.3337427729273987,0.19037473818896294,0.10394818700397601,-0.15749486053418393,-0.23715387534710652,0.055892000993426616,0.33890904275012607,0.2828813785358864,0.7052796011603714,0.28157417969277776,0.22384563207465305,0.48504249309585085,0.30347785801703653,0.21723370177036383,0.5455474544431388,0.3588710310062262,0.16444181992459303,0.6245104694128236,0.3906196416024849,0.19368137316353262,1.0,0.30482237305982696,0.2920283495307492,0.24745891535844344,0.27608570338427496,0.16799967502700067,0.5774891469415635,0.3132832097452763,0.192948581601079,0.6813968641664004,0.30246937881278135,0.2335727491841138,0.46934693277418804,-0.002590155325046856
